,Importance
first_road_number_34.0,0.0006205834281608623
first_road_number_56.0,0.000619306052341835
first_road_number_3.0,0.0006191520437478393
first_road_number_20.0,0.0006078852804828638
first_road_number_40.0,0.000601622771475676
vehicle_leaving_carriageway_Nearside and rebounded,0.0005827738237799084
vehicle_manoeuvre_Changing lane to right,0.0005811619166359161
first_road_number_49.0,0.0005788361849480813
first_road_number_11.0,0.0005691600551267509
first_road_number_58.0,0.0005645429906286211
first_road_number_205.0,0.0005609546119536474
carriageway_hazards_Other object on road,0.0005583032093339757
hit_object_off_carriageway_Near/Offside crash barrier,0.000539296396827517
vehicle_location_restricted_lane_Footway (pavement),0.0005322540298741846
first_road_number_27.0,0.0005173551526023063
first_road_number_59.0,0.0005172611300378074
first_road_number_2.0,0.0005138142273156703
first_road_number_47.0,0.0004996288721515548
first_road_number_445.0,0.0004987052386081445
first_road_number_62.0,0.0004951970297933225
vehicle_location_restricted_lane_Bus lane,0.000489727845561657
vehicle_left_hand_drive_Yes,0.00048637572917880674
first_road_number_19.0,0.0004850543156528664
first_road_number_25.0,0.0004787883577576673
vehicle_left_hand_drive_No,0.00046802173403367065
first_road_number_60.0,0.0004555153788722431
junction_control_Authorised person,0.00044940097144227984
first_road_number_26.0,0.00044849732297038444
first_road_number_361.0,0.00044393590561783323
first_road_number_165.0,0.0004353096165829717
first_road_number_35.0,0.00042950709135860783
first_road_number_329.0,0.00041995249347803894
first_road_number_272.0,0.0004189214190126377
first_road_number_638.0,0.00041280804451071735
vehicle_manoeuvre_Reversing,0.00041223740771095807
first_road_number_171.0,0.0004116690662019893
first_road_number_404.0,0.00041075573808154104
first_road_number_635.0,0.00040731227969481387
first_road_number_31.0,0.0004069980653268267
first_road_number_428.0,0.00039153031776096263
first_road_class_A(M),0.0003910572243774927
first_road_number_21.0,0.00039041228126270847
first_road_number_13.0,0.0003753495847204419
towing_and_articulation_Single trailer,0.0003685390193227434
first_road_number_4040.0,0.00036683462454384445
first_road_number_6200.0,0.00036305511661523097
first_road_number_54.0,0.0003627166127129692
pedestrian_crossing_physical_facilities_Footbridge or subway,0.0003612658709320367
hit_object_off_carriageway_Entered ditch,0.0003593518280904365
first_road_number_452.0,0.00035722318451737555
first_road_number_449.0,0.0003566459932204798
first_road_number_614.0,0.0003552636469727638
vehicle_leaving_carriageway_Offside on to central reservation,0.00035059214453555187
first_road_number_12.0,0.0003475505770678843
first_road_number_580.0,0.000345792283075398
first_road_number_16.0,0.0003440946858292729
first_road_number_217.0,0.0003407772361806065
vehicle_type_Other vehicle,0.00033436946736333135
first_road_number_167.0,0.00033375473130130214
first_road_number_350.0,0.00033113304835913565
first_road_number_219.0,0.0003272492091786535
first_road_number_501.0,0.0003229981225719094
vehicle_type_Goods over 3.5t. and under 7.5t,0.0003213015477511359
first_road_number_4020.0,0.0003197635901337206
first_road_number_124.0,0.0003193360956146297
first_road_number_338.0,0.0003186212442820601
first_road_number_33.0,0.00030785099460614617
first_road_number_303.0,0.00030739418686979053
hit_object_off_carriageway_Central crash barrier,0.0003042784106309654
first_road_number_3212.0,0.00030347382528358844
first_road_number_66.0,0.00030030333885691597
first_road_number_682.0,0.0002995141652739777
weather_conditions_Snowing no high winds,0.0002956267004730815
first_road_number_458.0,0.0002932586667907962
first_road_number_579.0,0.000293104120127225
first_road_number_1077.0,0.0002914997263176757
first_road_number_64.0,0.00028845252369953336
hit_object_in_carriageway_Other object,0.00028799180532472745
first_road_number_153.0,0.00028618165622238214
first_road_number_1079.0,0.000285691704723112
first_road_number_50.0,0.0002836583038208577
first_road_number_1067.0,0.00027720337284496807
first_road_number_215.0,0.00027667076520963206
first_road_number_456.0,0.0002682498852096132
first_road_number_4101.0,0.00026518009032301844
first_road_number_312.0,0.00026111506241574924
first_road_number_4123.0,0.0002601994327979677
first_road_number_406.0,0.0002599187250105089
first_road_number_45.0,0.00025958696720048704
first_road_number_65.0,0.0002577453575807518
first_road_number_4114.0,0.0002576331630788853
first_road_number_283.0,0.00025729286840196915
first_road_number_503.0,0.0002568710291793501
first_road_number_631.0,0.00025611129754463135
first_road_number_17.0,0.00025006371760912286
first_road_number_245.0,0.00024853098576950737
first_road_number_630.0,0.00024798163502356805
road_surface_conditions_Snow,0.00024383663282699303
vehicle_type_Agricultural vehicle,0.00024259077147088256
first_road_number_308.0,0.00024256115140248966
first_road_number_143.0,0.00024176208043674415
first_road_number_326.0,0.00024030642052107494
vehicle_leaving_carriageway_Offside and rebounded,0.00023984166953589848
first_road_number_149.0,0.00023883921938925234
first_road_number_663.0,0.00023693131484640493
first_road_number_515.0,0.00023404240676508684
first_road_number_461.0,0.0002337863622828277
first_road_number_140.0,0.00023351256015007884
first_road_number_6120.0,0.00023156410405292052
first_road_number_44.0,0.0002304503875356874
first_road_number_18.0,0.00023011137485802395
first_road_number_118.0,0.00022987403924635684
special_conditions_at_site_Auto traffic signal - out,0.0002297228075582446
first_road_number_605.0,0.0002283457507885886
first_road_number_317.0,0.00022737542389338546
first_road_number_429.0,0.00022703485555368555
first_road_number_104.0,0.00022464683894528326
first_road_number_105.0,0.00022364579625696923
first_road_number_420.0,0.00022299576775636708
first_road_number_610.0,0.0002217567805727355
first_road_number_1136.0,0.0002199786735137766
first_road_number_4100.0,0.00021857628975614028
first_road_number_689.0,0.00021832543126655392
first_road_number_1307.0,0.0002180011240404232
carriageway_hazards_Pedestrian in carriageway - not injured,0.00021687631008395582
first_road_number_684.0,0.00021673580569854804
first_road_number_3049.0,0.0002159126486281781
first_road_number_32.0,0.00021585882135111332
first_road_number_68.0,0.00021438483053018526
first_road_number_123.0,0.00021397183172110093
first_road_number_665.0,0.00021319376703880143
first_road_number_229.0,0.00021055718592478116
first_road_number_560.0,0.00020976193747874628
first_road_number_1134.0,0.000209403573255522
first_road_number_15.0,0.0002081350031111943
special_conditions_at_site_Road sign or marking defective or obscured,0.00020632813285937398
first_road_number_1066.0,0.00020580422414226751
first_road_number_666.0,0.00020572671287651136
first_road_number_43.0,0.00020480851792801185
first_road_number_6005.0,0.0002017697756668671
first_road_number_6060.0,0.00020116012478419435
first_road_number_354.0,0.0002009402135199204
first_road_number_658.0,0.00020081716621634554
first_road_number_206.0,0.00020052609900880907
first_road_number_5358.0,0.0001999279109293241
first_road_number_51.0,0.00019874283648846727
first_road_number_3052.0,0.00019761078985929882
hit_object_off_carriageway_Telegraph or electricity pole,0.0001975919687625612
first_road_number_22.0,0.00019527846703247293
first_road_number_14.0,0.0001949641733262427
first_road_number_690.0,0.00019397695801390903
carriageway_hazards_Previous accident,0.00019389105493047745
first_road_number_629.0,0.0001926232179204784
first_road_number_4421.0,0.00019204828538838288
first_road_number_413.0,0.00019115058123810177
first_road_number_28.0,0.000190309176940601
first_road_number_671.0,0.0001901467400107145
first_road_number_3220.0,0.0001900774384468004
first_road_number_177.0,0.00018788575392318652
first_road_number_609.0,0.0001859574023718017
first_road_number_1101.0,0.0001849548732021556
first_road_number_574.0,0.00018432097698849946
first_road_number_417.0,0.00018260659250684386
first_road_number_36.0,0.00018252088282432965
carriageway_hazards_Any animal in carriageway (except ridden horse),0.0001805197631401664
first_road_number_106.0,0.0001794211214050388
first_road_number_607.0,0.00017730251707000214
first_road_number_585.0,0.00017536612614751828
first_road_number_647.0,0.00017459036955189117
first_road_number_5058.0,0.00017429332874657213
first_road_number_112.0,0.00017398914638847257
first_road_number_505.0,0.00017368052474738156
first_road_number_107.0,0.0001729392343689129
first_road_number_453.0,0.00017247455567524688
first_road_number_1405.0,0.00017120998662457758
first_road_number_562.0,0.00017034637561657038
first_road_number_4036.0,0.00016981218557482423
first_road_number_6177.0,0.00016945267445444537
first_road_number_2175.0,0.00016919575260923968
first_road_number_3205.0,0.0001688353101698759
first_road_number_587.0,0.00016771551813607146
first_road_number_4540.0,0.00016750429021954906
first_road_number_5369.0,0.00016749791522533097
first_road_number_134.0,0.0001664128877060464
first_road_number_193.0,0.00016623534709469322
first_road_number_213.0,0.00016590595258520363
pedestrian_crossing_human_control_Control by school crossing patrol,0.00016584955630303378
first_road_number_3068.0,0.00016574671180761394
first_road_number_644.0,0.0001642887338681104
first_road_number_202.0,0.00016413279567047728
first_road_number_457.0,0.00016214951058536457
carriageway_hazards_Vehicle load on road,0.000162000580130197
first_road_number_286.0,0.00016121117926982956
first_road_number_4455.0,0.00016061648097260282
first_road_number_63.0,0.00016034199874460795
first_road_number_5203.0,0.00015986636962900174
towing_and_articulation_Other tow,0.00015932646559517128
special_conditions_at_site_Oil or diesel,0.00015765395308336435
first_road_number_444.0,0.00015750069596960327
first_road_number_269.0,0.0001574229891847766
first_road_number_352.0,0.00015692561374151923
first_road_number_565.0,0.00015652598093104334
first_road_number_1000.0,0.00015644295113835765
first_road_number_5215.0,0.00015641977831245358
first_road_number_641.0,0.0001563327632949192
first_road_number_570.0,0.00015570308517716343
first_road_number_5111.0,0.00015555800661083984
first_road_number_6144.0,0.00015520799263431156
first_road_number_307.0,0.00015423378738602293
first_road_number_4148.0,0.00015403519254290527
first_road_number_148.0,0.00015401858915337261
first_road_number_534.0,0.00015345833775659947
first_road_number_1040.0,0.0001533378896751359
first_road_number_335.0,0.00015259717412557068
vehicle_location_restricted_lane_Cycle lane (on main carriageway),0.00015218490719770138
vehicle_leaving_carriageway_Offside - crossed central reservation,0.00015143353573290628
first_road_number_5082.0,0.00015062501370494472
first_road_number_426.0,0.00015012255722690973
first_road_number_627.0,0.00014870461232356966
first_road_number_288.0,0.00014817647256162462
first_road_number_1010.0,0.00014607220361514782
first_road_number_577.0,0.00014545074245907858
first_road_number_29.0,0.00014494526081221658
first_road_number_284.0,0.00014460120747349748
first_road_number_642.0,0.00014447903446243498
first_road_number_390.0,0.00014312037432817102
first_road_number_4044.0,0.00014224508856194385
first_road_number_664.0,0.00014141414565898867
first_road_number_435.0,0.0001412510338814395
first_road_number_5230.0,0.000141167938826276
first_road_number_265.0,0.00014110350022260157
first_road_number_508.0,0.000140701725675939
first_road_number_158.0,0.00014003112376152903
first_road_number_222.0,0.000138434049503354
first_road_number_232.0,0.00013823972299864296
first_road_number_201.0,0.00013734109612348336
first_road_number_151.0,0.00013651465910020423
first_road_number_576.0,0.00013572136351469593
first_road_number_174.0,0.00013542417358663455
first_road_number_214.0,0.00013539428546000332
first_road_number_408.0,0.00013495874557324297
first_road_number_5178.0,0.00013280107591131135
first_road_number_442.0,0.00013222643776894627
first_road_number_322.0,0.00013216803474826817
hit_object_in_carriageway_Road works,0.0001317245336162719
first_road_number_240.0,0.0001315327995982871
vehicle_type_Minibus (8 - 16 passenger seats),0.0001314694946802042
first_road_number_37.0,0.00013130214366185525
first_road_number_626.0,0.00013105512715857088
first_road_number_4088.0,0.00013075438970674673
first_road_number_166.0,0.00013071385014567802
first_road_number_438.0,0.000130572602193783
first_road_number_327.0,0.0001303373458417833
first_road_number_339.0,0.0001293604174589541
first_road_number_4113.0,0.0001292057707465428
first_road_number_212.0,0.00012909801524757926
first_road_number_6003.0,0.00012877241006975754
first_road_number_1202.0,0.00012838403816569366
first_road_number_1006.0,0.00012836440703273868
first_road_number_617.0,0.0001279444272739156
first_road_number_6042.0,0.00012753424944024578
first_road_number_315.0,0.00012711135933547634
first_road_number_139.0,0.00012710155539580954
first_road_number_632.0,0.00012700040300088955
first_road_number_5123.0,0.0001266775354666194
first_road_number_578.0,0.00012665197327475005
vehicle_location_restricted_lane_On lay-by or hard shoulder,0.00012656665285658384
first_road_number_4098.0,0.00012591964467363153
first_road_number_454.0,0.00012514904758212863
first_road_number_616.0,0.00012489054608152348
first_road_number_2030.0,0.00012459303418014476
first_road_number_633.0,0.00012443181672627444
vehicle_leaving_carriageway_Offside on to centrl res + rebounded,0.00012393183931846459
first_road_number_306.0,0.0001221740613027207
first_road_number_5269.0,0.00012179266141250806
first_road_number_660.0,0.00012177121801892612
first_road_number_4130.0,0.00012011363297205696
first_road_number_6379.0,0.00011995488751856892
first_road_number_281.0,0.00011968821683108854
first_road_number_596.0,0.00011956667906646007
first_road_number_6020.0,0.0001192435475229387
first_road_number_3059.0,0.00011922091456576504
first_road_number_3035.0,0.00011907338987002779
first_road_number_683.0,0.00011867966616925555
first_road_number_5063.0,0.00011850593332793221
first_road_number_185.0,0.00011830400106661115
first_road_number_3072.0,0.00011810353219673144
first_road_number_3067.0,0.00011761429495012902
first_road_number_343.0,0.00011722453975081871
first_road_number_2177.0,0.0001171793238729567
first_road_number_228.0,0.00011653771146713564
first_road_number_419.0,0.00011648923607399826
first_road_number_2199.0,0.00011629944340740014
first_road_number_325.0,0.00011617265996323785
