,Importance
first_road_number_503.0,0.00026579299027039205
hit_object_in_carriageway_Other object,0.0002656414345269464
first_road_number_684.0,0.00026440540088528244
carriageway_hazards_Pedestrian in carriageway - not injured,0.0002627260232741212
first_road_number_605.0,0.00026206052865610993
first_road_number_550.0,0.0002613404101079154
first_road_number_54.0,0.0002603230868779966
first_road_number_338.0,0.0002547389840871187
first_road_number_5358.0,0.0002523010174215957
first_road_number_682.0,0.0002522866904694194
first_road_number_219.0,0.00025140775343675606
first_road_number_1079.0,0.0002507451722835386
first_road_number_149.0,0.00025066937006855823
first_road_number_4148.0,0.00025005337125079484
first_road_number_124.0,0.00024954113837733025
first_road_number_17.0,0.00024848989861310066
first_road_number_232.0,0.0002477370369724252
first_road_number_14.0,0.00024548090776884123
first_road_number_350.0,0.00024535438079354566
first_road_number_607.0,0.0002447418317716719
first_road_number_50.0,0.00024335533337582196
first_road_number_36.0,0.0002390544589014714
first_road_number_3049.0,0.00023898076931983035
first_road_number_666.0,0.00023889835967311058
first_road_class_A(M),0.00023799543956362962
first_road_number_153.0,0.00023710916832962744
first_road_number_4101.0,0.00023567867024391334
first_road_number_420.0,0.00023527172036770101
first_road_number_284.0,0.00023198833815158635
first_road_number_105.0,0.00023112974753387378
first_road_number_272.0,0.0002310192417811614
first_road_number_671.0,0.00023095318455145438
first_road_number_118.0,0.00022721154795662466
first_road_number_326.0,0.00022559534941663016
first_road_number_413.0,0.00022407162614231774
first_road_number_560.0,0.00022161051309617017
first_road_number_609.0,0.00021743115690538354
first_road_number_4114.0,0.00021640622782866524
first_road_number_610.0,0.00021564649156393927
first_road_number_64.0,0.00021377033422011952
first_road_number_45.0,0.0002135742144696693
first_road_number_6177.0,0.00021273783030645722
first_road_number_206.0,0.00021111138341577728
first_road_number_193.0,0.0002105306757396248
first_road_number_501.0,0.00021045084783296463
vehicle_type_Other vehicle,0.00020916361878551906
first_road_number_65.0,0.0002082850813136585
first_road_number_202.0,0.00020649563836587894
first_road_number_647.0,0.00020561044333092322
first_road_number_630.0,0.00020410843065393522
first_road_number_585.0,0.00020406964950900878
special_conditions_at_site_Road sign or marking defective or obscured,0.00020392102138547428
first_road_number_134.0,0.00020356219494670593
first_road_number_158.0,0.00020230373255239695
first_road_number_1000.0,0.00020138746959216247
first_road_number_22.0,0.00020055484364777927
first_road_number_229.0,0.00019932127067448616
first_road_number_3205.0,0.0001988419643828414
first_road_number_148.0,0.00019881176478741866
carriageway_hazards_Vehicle load on road,0.0001984467714633358
first_road_number_629.0,0.00019796236954580264
first_road_number_37.0,0.00019776392997911745
vehicle_leaving_carriageway_Offside on to centrl res + rebounded,0.00019562108225077302
first_road_number_1066.0,0.00019557731109926983
first_road_number_63.0,0.00019432301601514328
first_road_number_32.0,0.00019324306553294176
first_road_number_429.0,0.00019242383977622731
first_road_number_4123.0,0.00019168390440076055
first_road_number_4540.0,0.00019099109492013612
first_road_number_5111.0,0.0001881013244415037
first_road_number_664.0,0.00018668150583954997
first_road_number_3212.0,0.0001861640810527141
first_road_number_452.0,0.0001859667056900481
pedestrian_crossing_human_control_Control by school crossing patrol,0.00018426500007812183
first_road_number_1101.0,0.00018406436275998492
first_road_number_1307.0,0.00018405988508951482
first_road_number_315.0,0.00018379179944549406
first_road_number_112.0,0.0001836145239140771
first_road_number_322.0,0.00018278734773091701
first_road_number_307.0,0.00018174663830456222
